participant,task,step,x0,x1,x2,x3,choice,target,time
0,25,9,-1.56,-1.95,-0.90,0.30,0,0,2287022.00
0,26,0,0.11,-1.98,4.51,-2.37,0,0,2299364.00
0,26,1,0.41,0.79,0.60,-0.67,0,1,2308893.00
0,26,2,-0.30,-0.49,0.89,-1.78,1,1,2317357.00
0,26,3,-0.23,-1.03,0.49,-1.85,1,1,2326219.00
0,26,4,1.45,-1.31,0.27,-1.40,0,1,2330270.00
0,26,5,-1.72,1.50,-0.53,0.07,1,0,2340592.00
0,26,6,0.73,0.50,-0.05,-0.35,1,1,2345087.00
0,26,7,1.45,1.29,-1.87,1.04,1,1,2350863.00
0,26,8,-2.14,0.08,-0.49,-0.14,0,0,2355048.00
0,26,9,0.04,1.35,1.16,-1.04,1,0,2359509.00
0,27,0,0.81,1.95,1.03,1.65,0,0,2366232.00
0,27,1,0.47,0.93,0.91,1.26,0,0,2373961.00
0,27,2,0.46,0.14,1.09,-0.87,0,1,2377467.00
0,27,3,0.66,-1.65,2.46,-1.71,0,1,2387777.00
0,27,4,0.92,1.59,-0.95,0.88,0,0,2399766.00
0,27,5,-0.02,-0.72,-0.86,-2.23,0,1,2403586.00
0,27,6,1.15,1.33,-0.31,-0.27,0,0,2408494.00
0,27,7,-0.92,-2.02,0.96,-2.40,1,1,2412829.00
0,27,8,-2.23,-0.66,0.85,-0.70,1,1,2416443.00
0,27,9,-1.35,0.79,-1.19,1.22,0,0,2420440.00
0,28,0,-0.26,2.74,2.10,3.02,1,1,2432462.00
0,28,1,0.33,1.51,0.51,0.97,0,1,2450867.00
0,28,2,-2.54,-3.65,-3.69,-2.87,0,1,2454740.00
0,28,3,-1.97,0.23,-0.89,-2.39,1,1,2461502.00
0,28,4,-0.78,-0.19,2.42,0.80,1,1,2465725.00
0,28,5,-2.24,0.20,0.98,-1.30,0,1,2473194.00
0,28,6,0.31,-2.67,-1.13,-0.54,0,0,2476912.00
0,28,7,2.41,-1.87,-0.48,0.23,0,0,2480353.00
0,28,8,-1.47,0.48,0.71,-0.61,1,1,2485391.00
0,28,9,2.03,0.65,1.27,-1.38,1,0,2489281.00
0,29,0,0.35,-0.56,-0.57,1.26,0,1,2497719.00
0,29,1,0.97,-1.32,-1.76,-2.83,1,1,2512223.00
0,29,2,-0.38,-0.66,0.00,1.48,0,1,2518132.00
0,29,3,2.32,0.11,-0.65,0.96,1,1,2524446.00
0,29,4,-0.23,1.81,0.21,-0.40,1,0,2530097.00
0,29,5,1.25,1.49,-1.57,-0.27,0,0,2536276.00
0,29,6,0.80,-0.32,-1.55,-0.54,0,1,2540169.00
0,29,7,-0.46,0.10,-0.26,-0.96,0,0,2545081.00
0,29,8,-1.33,-4.59,-1.36,-2.64,1,1,2549080.00
0,29,9,-0.88,0.35,-0.76,-0.10,1,0,2552434.00
1,0,0,0.55,2.47,2.96,-3.08,0,1,2739303.00
1,0,1,-0.53,1.27,-1.40,-0.88,0,0,2749937.00
1,0,2,0.91,1.82,1.23,-1.81,1,1,2762021.00
1,0,3,-0.78,-0.57,-1.66,2.16,0,1,2771028.00
1,0,4,0.67,-0.79,-0.39,1.23,1,1,2775561.00
1,0,5,-0.71,-1.65,-3.10,4.74,0,1,2780655.00
1,0,6,0.65,0.62,0.23,0.69,1,1,2785488.00
1,0,7,1.37,-0.86,1.84,0.12,0,1,2789217.00
1,0,8,1.01,-1.48,-0.24,0.66,0,0,2792850.00
1,0,9,-0.96,-3.32,-0.13,2.86,1,1,2795170.00
1,1,0,1.21,1.33,-1.24,-2.55,0,0,2802398.00
1,1,1,-0.02,-0.32,-0.66,0.31,1,0,2805881.00
1,1,2,0.24,-0.74,2.71,-1.57,0,0,2810404.00
1,1,3,-0.67,0.43,-1.97,2.87,1,1,2820280.00
1,1,4,-1.17,-0.94,0.27,0.48,1,1,2829334.00
1,1,5,-2.51,1.45,-0.21,0.30,1,1,2842894.00
1,1,6,-1.41,-1.18,0.89,-0.83,1,0,2854455.00
1,1,7,-4.14,-0.40,0.25,0.92,1,1,2858163.00
1,1,8,0.28,-0.99,0.47,0.10,1,0,2864143.00
1,1,9,-0.64,0.27,1.62,-1.05,1,0,2869695.00
1,2,0,0.40,-0.17,-2.60,-1.25,1,1,2877373.00
1,2,1,1.13,-0.44,0.48,-0.75,0,1,2883399.00
1,2,2,3.13,-0.06,1.08,-2.89,0,1,2886723.00
1,2,3,0.45,-1.41,-1.92,-2.08,0,1,2888941.00
1,2,4,0.82,-0.66,0.45,-1.33,1,1,2901570.00
1,2,5,-1.25,1.55,1.59,0.46,0,0,2910120.00
1,2,6,-2.35,1.16,-0.31,1.68,0,0,2920694.00
1,2,7,-1.49,1.60,-0.91,-1.98,1,0,2929481.00
1,2,8,-0.33,0.65,-1.25,-0.70,1,1,2944237.00
1,2,9,-1.26,-0.06,-1.40,-1.40,0,1,2961167.00
1,3,0,-1.55,0.03,-0.51,-1.18,1,1,2969271.00
1,3,1,0.40,2.61,0.13,-0.58,0,0,2972713.00
1,3,2,-1.01,2.47,0.28,2.26,0,0,2978402.00
1,3,3,-3.54,-0.14,-1.92,1.92,1,0,2983322.00
1,3,4,-1.57,1.05,-0.59,0.65,1,0,2987204.00
